,Ticker 1,Ticker 2,t value,p value,c value,Hedge Ratio,Zero Crossings
1516,HOTUSDT,SCUSDT,-3.77,0.01,-3.37,0.63,55
1869,QTUMUSDT,REEFUSDT,-4.16,0.0,-3.37,816.65,54
703,BELUSDT,REEFUSDT,-4.31,0.0,-3.37,171.9,50
474,ANKRUSDT,BAKEUSDT,-3.8,0.01,-3.37,0.12,50
1878,QTUMUSDT,UNFIUSDT,-6.48,0.0,-3.37,0.5,50
861,BTCUSDT,REQUSDT,-3.74,0.02,-3.37,194080.65,47
1148,DODOUSDT,UNFIUSDT,-5.24,0.0,-3.37,0.03,47
913,CELRUSDT,DODOUSDT,-3.55,0.03,-3.37,0.1,46
1212,EOSUSDT,VETUSDT,-4.99,0.0,-3.37,54.84,45
1542,ICXUSDT,ZRXUSDT,-4.24,0.0,-3.37,0.95,44
608,BAKEUSDT,ONEUSDT,-3.93,0.01,-3.37,12.89,44
1940,RNDRUSDT,SCUSDT,-5.47,0.0,-3.37,179.48,44
971,CREAMUSDT,MKRUSDT,-5.66,0.0,-3.37,0.02,44
716,BELUSDT,TLMUSDT,-3.78,0.01,-3.37,32.39,44
502,ANKRUSDT,ONEUSDT,-4.65,0.0,-3.37,1.55,44
744,BLZUSDT,KNCUSDT,-4.15,0.0,-3.37,0.11,44
153,1INCHUSDT,CEEKUSDT,-3.5,0.03,-3.37,5.21,43
1548,ILVUSDT,SCUSDT,-4.78,0.0,-3.37,17000.94,43
1950,RNDRUSDT,THETAUSDT,-5.85,0.0,-3.37,0.55,43
505,ANKRUSDT,QTUMUSDT,-4.94,0.0,-3.37,0.01,43
929,CELRUSDT,UNFIUSDT,-3.42,0.04,-3.37,0.0,43
717,BELUSDT,UNFIUSDT,-3.4,0.04,-3.37,0.1,43
1146,DODOUSDT,REEFUSDT,-3.46,0.04,-3.37,41.24,43
1145,DODOUSDT,QTUMUSDT,-4.05,0.01,-3.37,0.05,42
1628,KNCUSDT,XTZUSDT,-5.18,0.0,-3.37,0.64,42
506,ANKRUSDT,REEFUSDT,-4.19,0.0,-3.37,6.84,42
430,ALICEUSDT,BAKEUSDT,-3.93,0.01,-3.37,8.24,42
1532,ICXUSDT,QTUMUSDT,-3.96,0.01,-3.37,0.08,42
1270,FITFIUSDT,ROSEUSDT,-4.9,0.0,-3.37,0.64,41
684,BELUSDT,FITFIUSDT,-4.05,0.01,-3.37,17.47,41
615,BALUSDT,BSVUSDT,-4.16,0.0,-3.37,0.13,41
1856,PEOPLEUSDT,QNTUSDT,-3.42,0.04,-3.37,0.0,41
1280,FITFIUSDT,SUSHIUSDT,-3.5,0.03,-3.37,0.02,40
897,C98USDT,STXUSDT,-4.46,0.0,-3.37,0.75,40
1268,FITFIUSDT,REEFUSDT,-4.34,0.0,-3.37,9.84,40
2050,SCUSDT,SXPUSDT,-3.4,0.04,-3.37,0.01,40
1566,INJUSDT,KNCUSDT,-4.75,0.0,-3.37,2.78,40
1973,RSRUSDT,SKLUSDT,-4.18,0.0,-3.37,0.14,40
1756,MTLUSDT,SLPUSDT,-6.82,0.0,-3.37,336.74,40
1874,QTUMUSDT,SCRTUSDT,-4.19,0.0,-3.37,3.05,39
1651,LINAUSDT,QTUMUSDT,-3.37,0.05,-3.37,0.0,39
508,ANKRUSDT,ROSEUSDT,-4.15,0.0,-3.37,0.45,39
2037,SCRTUSDT,STORJUSDT,-4.37,0.0,-3.37,2.47,39
1337,GALUSDT,RSRUSDT,-3.64,0.02,-3.37,362.09,39
2098,TLMUSDT,UNFIUSDT,-3.6,0.02,-3.37,0.0,39
1028,CRVUSDT,SCUSDT,-3.41,0.04,-3.37,233.7,39
401,AKROUSDT,XRPUSDT,-4.57,0.0,-3.37,0.01,39
657,BATUSDT,ZRXUSDT,-3.97,0.01,-3.37,1.12,39
460,ALICEUSDT,ROSEUSDT,-3.83,0.01,-3.37,30.63,39
951,COMPUSDT,FILUSDT,-4.55,0.0,-3.37,10.13,38
1985,RSS3USDT,SLPUSDT,-4.23,0.0,-3.37,50.58,38
908,CEEKUSDT,NEOUSDT,-4.13,0.0,-3.37,0.01,38
1955,RNDRUSDT,VETUSDT,-3.48,0.03,-3.37,25.58,38
1816,ONEUSDT,RVNUSDT,-3.49,0.03,-3.37,0.53,38
707,BELUSDT,RUNEUSDT,-5.16,0.0,-3.37,0.3,38
371,AKROUSDT,RSS3USDT,-3.86,0.01,-3.37,0.03,38
2074,STORJUSDT,TLMUSDT,-3.73,0.02,-3.37,20.44,38
2076,STXUSDT,THETAUSDT,-3.42,0.04,-3.37,0.29,38
450,ALICEUSDT,INJUSDT,-3.49,0.03,-3.37,0.83,38
368,AKROUSDT,REQUSDT,-3.66,0.02,-3.37,0.04,37
1011,CRVUSDT,MINAUSDT,-3.44,0.04,-3.37,1.21,37
2059,SHIB1000USDT,SXPUSDT,-3.79,0.01,-3.37,0.04,37
